label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,started,finished
CEDA_1GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.ceda.ac.uk,1110603079,1110603079,True,1,0,0,1130.92,1129.7816591950004,0.937,True,0.0023,0.2772,0.2806,0.5702,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T14:19:33.087534+00:00,2026-07-02T14:38:24.090792+00:00
CEDA_2GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Omon/thetao/gn/v20190627/thetao_Omon_UKESM1-0-LL_historical_r1i1p1f2_gn_200001-201412.nc,esgf.ceda.ac.uk,2072144713,2072144713,True,1,0,0,2167.27,2164.8432071049992,0.913,True,0.9218,0.297,0.2994,0.9016,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T14:38:24.110874+00:00,2026-07-02T15:14:31.530558+00:00
CEDA_3GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r9i1p1f2/Omon/thetao/gn/v20190125/thetao_Omon_CNRM-CM6-1_historical_r9i1p1f2_gn_187501-189912.nc,esgf.ceda.ac.uk,3453324820,3453324820,True,1,0,0,2352.56,2350.877823115001,1.401,True,0.5704,0.2719,0.277,0.5532,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T15:14:31.551027+00:00,2026-07-02T15:53:44.358118+00:00
CEDA_9GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Omon/thetao/gn/v20190823/thetao_Omon_MIROC-ES2L_piControl_r1i1p1f2_gn_225001-234912.nc,esgf.ceda.ac.uk,9433718291,9433718291,True,1,0,0,5522.83,5520.395993771001,1.63,True,0.855,0.296,0.6855,0.5944,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T15:53:44.378904+00:00,2026-07-02T17:25:47.796864+00:00
DKRZ_1GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf3.dkrz.de,1110603079,1110603079,True,1,0,0,140.45,138.93145968300087,7.624,True,0.0028,0.2922,0.2944,0.9199,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T17:25:49.525515+00:00,2026-07-02T17:28:10.054346+00:00
DKRZ_2GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Omon/thetao/gn/v20190627/thetao_Omon_UKESM1-0-LL_historical_r1i1p1f2_gn_200001-201412.nc,esgf3.dkrz.de,2072144713,2072144713,True,1,0,0,244.02,242.46616564899887,8.15,True,0.0029,0.2924,0.2951,0.9613,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T17:28:10.072425+00:00,2026-07-02T17:32:14.252035+00:00
DKRZ_3GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r9i1p1f2/Omon/thetao/gn/v20190125/thetao_Omon_CNRM-CM6-1_historical_r9i1p1f2_gn_187501-189912.nc,esgf3.dkrz.de,3453324820,3453324820,True,1,0,0,466.2,463.8911162289987,7.099,True,0.0024,0.3099,1.009,0.9848,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T17:32:14.272809+00:00,2026-07-02T17:40:00.717549+00:00
DKRZ_11GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/MIROC/MIROC-ES2L/historical/r7i1p1f2/Omon/thetao/gr1/v20200731/thetao_Omon_MIROC-ES2L_historical_r7i1p1f2_gr1_185001-201412.nc,esgf3.dkrz.de,12047537377,12047537377,True,1,0,0,1393.63,1392.0825419370012,8.253,True,0.0054,0.288,0.295,0.9498,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T17:40:00.736974+00:00,2026-07-02T18:03:15.094359+00:00
ORNL_1GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf-node.ornl.gov,1110603079,1110603079,True,1,0,0,126.6,125.28787269500026,8.454,True,0.0026,0.2881,0.2877,0.7285,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T18:03:16.129018+00:00,2026-07-02T18:05:22.816873+00:00
ORNL_2GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/UKESM1-0-LL/historical/r1i1p1f2/Omon/thetao/gn/v20190627/thetao_Omon_UKESM1-0-LL_historical_r1i1p1f2_gn_200001-201412.nc,esgf-node.ornl.gov,2072144713,2072144713,True,1,0,0,373.73,372.2054056880006,5.309,True,0.0071,0.2869,0.2892,0.9315,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T18:05:22.840441+00:00,2026-07-02T18:11:36.722524+00:00
ORNL_3GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r9i1p1f2/Omon/thetao/gn/v20190125/thetao_Omon_CNRM-CM6-1_historical_r9i1p1f2_gn_187501-189912.nc,esgf-node.ornl.gov,3453324820,3453324820,True,1,0,0,422.56,421.17212955399737,7.819,True,0.1681,0.2807,0.2923,0.6348,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T18:11:36.740765+00:00,2026-07-02T18:18:39.527532+00:00
NERSC-GLOBUS_1GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-52ba3.fd635.8443.data.globus.org,,1110603079,True,1,0,0,65.61,64.08726240800024,16.527,True,0.0023,0.2756,0.2795,0.9556,140.221.68.105,TLSv1.3,dtn-05.pub.alcf.anl.gov,,unavailable: traceroute not installed (try `apt install traceroute` / `brew install traceroute`),,,2026-07-02T18:18:39.901895+00:00,2026-07-02T18:19:45.591079+00:00
