origin_hostname,origin_country,origin_city,origin_isp,origin_public_ip,origin_geo_status,label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,started,finished
airy2.local,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),BSC_1GB,verified,https://esgf.bsc.es/thredds/fileServer/esg_dataroot/a1u8-CMIP-r20/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/day/hur/gr/v20210303/hur_day_EC-Earth3_historical_r20i1p1f1_gr_18500101-18501231.nc,esgf.bsc.es,1341138713,1341138713,True,1,0,0,376.69,375.03336370800025,3.41,True,0.0033,0.4186,0.7993,0.393,84.88.53.197,TLSv1.2,esgf.bsc.es,30,ok,,,2026-07-04T12:27:42.151627+00:00,2026-07-04T12:33:58.874096+00:00
airy2.local,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),CEDA_1GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.ceda.ac.uk,1110603079,1110603079,True,2,1,1,218.24,212.86839875000078,4.976,True,0.003,0.3029,1.0857,0.8011,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,30,ok,,,2026-07-04T12:34:55.139130+00:00,2026-07-04T12:53:30.428429+00:00
airy2.local,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),DKRZ_1GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf3.dkrz.de,1110603079,1110603079,True,1,0,0,235.6,233.604721624999,4.534,True,0.0032,0.3453,0.3937,1.2059,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,30,ok,,,2026-07-04T12:54:28.299073+00:00,2026-07-04T12:58:23.912257+00:00
airy2.local,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),IPSL_1GB,verified,https://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/E3hrPt/o3/gr/v20240619/o3_E3hrPt_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001010300-185101010000.nc,vesg.ipsl.upmc.fr,1384821748,1384821748,True,1,0,0,349.63,347.83532779099914,3.797,True,0.003,0.417,0.7996,0.5349,134.157.240.12,TLSv1.2,vesg.ipsl.upmc.fr,30,ok,,,2026-07-04T12:59:21.196339+00:00,2026-07-04T13:05:10.843731+00:00
airy2.local,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),NCI_1GB,verified,https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.nci.org.au,1110603079,1110603079,True,1,0,0,22.83,22.498668041998826,47.076,True,0.0031,0.0721,0.0817,0.1292,130.56.243.38,TLSv1.3,esgf.nci.org.au,30,ok,,,2026-07-04T13:06:07.210997+00:00,2026-07-04T13:06:30.056009+00:00
airy2.local,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),NORESG_1GB,complete_unverified,https://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorCPM1/historical/r4i1p1f1/Amon/hus/gn/v20200724/hus_Amon_NorCPM1_historical_r4i1p1f1_gn_185001-201412.nc,noresg.nird.sigma2.no,1249487683,1249487683,True,1,0,0,123.44,122.21248424999976,9.75,,0.003,0.3023,0.2878,0.5908,158.36.102.245,TLSv1.3,,3,ok,,,2026-07-04T13:06:33.343442+00:00,2026-07-04T13:08:36.807303+00:00
airy2.local,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),LIU_1GB,verified,https://esg-dn1.nsc.liu.se/thredds/fileServer/esg_dataroot10/cmip6data/20250305_smhi_req00232/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-HR/historical/r1i1p1f1/Omon/so/gn/v20250225/so_Omon_EC-Earth3-HR_historical_r1i1p1f1_gn_185101-185112.nc,esg-dn1.nsc.liu.se,1692839176,1692839176,True,1,0,0,475.1,473.5239096660007,3.409,True,0.0025,0.344,0.8033,0.3882,130.236.100.123,TLSv1.2,esg-dn1.nsc.liu.se,3,ok,,,2026-07-04T13:08:38.025382+00:00,2026-07-04T13:16:33.144923+00:00
airy2.local,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),ORNL_1GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf-node.ornl.gov,1110603079,1110603079,True,13,12,8,5929.91,5555.297554751009,0.191,True,0.0028,0.3032,0.3944,1.0029,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,3,ok,,,2026-07-04T13:16:34.538828+00:00,2026-07-04T15:42:20.761708+00:00
airy2.local,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),ANL-GLOBUS_1GB,verified,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-52ba3.fd635.8443.data.globus.org,,1110603079,True,1,0,0,78.11,76.25173416699909,13.89,True,0.0038,0.2997,0.296,1.2206,140.221.68.108,TLSv1.3,dtn-05.pub.alcf.anl.gov,3,ok,,,2026-07-04T15:42:21.455168+00:00,2026-07-04T15:43:39.573516+00:00
airy2.local,Australia,Perth,SUPERLOOP AUSTRALIA PTY LTD,45.118.64.0,ok (ipwho.is),NERSC-GLOBUS_1GB,verified,https://g-eba899.6b7bd8.0ec8.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-eba899.6b7bd8.0ec8.data.globus.org,,1110603079,True,1,0,0,95.79,93.55810695900072,11.321,True,0.0026,0.2773,0.2925,1.6242,128.55.200.27,TLSv1.3,dtn-ro-new.nersc.gov,3,ok,,,2026-07-04T15:43:40.020842+00:00,2026-07-04T15:45:15.826579+00:00
