origin_hostname,origin_country,origin_city,origin_isp,origin_public_ip,origin_geo_status,origin_lat,origin_lon,os_description,python_version,openssl_version,label,status,url,host,total_bytes,downloaded_bytes,accept_ranges,attempts,resumes,stalls,wall_time_s,active_transfer_s,avg_rate_MBps,sha256_match,dns_s,tcp_connect_s,tls_handshake_s,ttfb_s,peer_ip,tls_version,reverse_dns,hop_count,traceroute_status,dest_org,dest_country,dest_city,dest_lat,dest_lon,started,finished
Rubrick1.local,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,macOS 26.5.2,3.9.7,OpenSSL 1.1.1l  24 Aug 2021,BSC_1GB,verified,https://esgf.bsc.es/thredds/fileServer/esg_dataroot/a1u8-CMIP-r20/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r20i1p1f1/day/hur/gr/v20210303/hur_day_EC-Earth3_historical_r20i1p1f1_gr_18500101-18501231.nc,esgf.bsc.es,1341138713,1341138713,True,1,0,0,396.55,394.835232917,3.239,True,0.0069,0.364,0.803,0.5112,84.88.53.197,TLSv1.2,esgf.bsc.es,30,ok,Anella Cientifica Value-Added Services,Spain,Barcelona,41.3874257,2.1685741,2026-07-23T11:28:24.077862+00:00,2026-07-23T11:35:00.659874+00:00
Rubrick1.local,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,macOS 26.5.2,3.9.7,OpenSSL 1.1.1l  24 Aug 2021,CEDA_1GB,verified,https://esgf.ceda.ac.uk/thredds/fileServer/esg_cmip6/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.ceda.ac.uk,1110603079,1110603079,True,1,0,0,2012.92,2011.6571278750002,0.527,True,0.0049,0.3323,0.2935,0.5896,130.246.128.97,TLSv1.3,k8s-proxy.ceda.ac.uk,30,ok,Science Technology Facilities Council,United Kingdom,Didcot,51.6092802,-1.2421371,2026-07-23T11:35:59.706546+00:00,2026-07-23T12:09:33.275660+00:00
Rubrick1.local,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,macOS 26.5.2,3.9.7,OpenSSL 1.1.1l  24 Aug 2021,DKRZ_1GB,verified,https://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf3.dkrz.de,1110603079,1110603079,True,1,0,0,154.77,153.05859025000018,6.92,True,0.002,0.3736,0.3173,0.9995,136.172.32.139,TLSv1.3,esgf-fs1.cloud.dkrz.de,30,ok,Deutsches Klimarechenzentrum GmbH,Germany,Hamburg,53.5488413,9.9871663,2026-07-23T12:10:34.003843+00:00,2026-07-23T12:13:08.796750+00:00
Rubrick1.local,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,macOS 26.5.2,3.9.7,OpenSSL 1.1.1l  24 Aug 2021,IPSL_1GB,verified,https://vesg.ipsl.upmc.fr/thredds/fileServer/cmip6/CMIP/IPSL/IPSL-CM5A2-INCA/historical/r1i1p1f1/E3hrPt/o3/gr/v20240619/o3_E3hrPt_IPSL-CM5A2-INCA_historical_r1i1p1f1_gr_185001010300-185101010000.nc,vesg.ipsl.upmc.fr,1384821748,1384821748,True,1,0,0,447.89,446.1959179590003,2.96,True,0.0034,0.3074,0.7696,0.5863,134.157.240.12,TLSv1.2,vesg.ipsl.upmc.fr,30,ok,Universite Pierre Et Marie Curie,France,Paris,48.8534113,2.3487886,2026-07-23T12:14:08.019199+00:00,2026-07-23T12:21:35.920691+00:00
Rubrick1.local,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,macOS 26.5.2,3.9.7,OpenSSL 1.1.1l  24 Aug 2021,NCI_1GB,verified,https://esgf.nci.org.au/thredds/fileServer/esgcet/replica/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf.nci.org.au,1110603079,1110603079,True,1,0,0,92.11,91.73746087500012,11.545,True,0.0026,0.0647,0.069,0.2135,130.56.243.38,TLSv1.3,esgf.nci.org.au,30,ok,Australian National University,Australia,Canberra,-35.2834619,149.1280667,2026-07-23T12:22:32.862450+00:00,2026-07-23T12:24:04.993097+00:00
Rubrick1.local,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,macOS 26.5.2,3.9.7,OpenSSL 1.1.1l  24 Aug 2021,NORESG_1GB,complete_unverified,https://noresg.nird.sigma2.no/thredds/fileServer/esg_dataroot/cmor/CMIP6/CMIP/NCC/NorCPM1/historical/r4i1p1f1/Amon/hus/gn/v20200724/hus_Amon_NorCPM1_historical_r4i1p1f1_gn_185001-201412.nc,noresg.nird.sigma2.no,1249487683,1249487683,True,1,0,0,109.01,107.05945345800001,11.13,,0.0022,0.2504,1.0691,0.6083,158.36.102.245,TLSv1.3,,3,ok,UNINETT,Norway,Oslo,59.9126738,10.7461747,2026-07-23T12:24:08.884285+00:00,2026-07-23T12:25:57.911083+00:00
Rubrick1.local,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,macOS 26.5.2,3.9.7,OpenSSL 1.1.1l  24 Aug 2021,LIU_1GB,verified,https://esg-dn1.nsc.liu.se/thredds/fileServer/esg_dataroot10/cmip6data/20250305_smhi_req00232/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-HR/historical/r1i1p1f1/Omon/so/gn/v20250225/so_Omon_EC-Earth3-HR_historical_r1i1p1f1_gn_185101-185112.nc,esg-dn1.nsc.liu.se,1692839176,1692839176,True,1,0,0,412.2,410.75993800000015,3.93,True,0.0018,0.3127,0.6984,0.4056,130.236.100.123,TLSv1.2,esg-dn1.nsc.liu.se,3,ok,Linkopings Universitet,Sweden,Linkoping,58.4108761,15.6216098,2026-07-23T12:26:00.399668+00:00,2026-07-23T12:32:52.606490+00:00
Rubrick1.local,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,macOS 26.5.2,3.9.7,OpenSSL 1.1.1l  24 Aug 2021,ORNL_1GB,verified,https://esgf-node.ornl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,esgf-node.ornl.gov,1110603079,1110603079,True,3,2,1,5293.53,5285.020196083,0.2,True,0.0021,0.3028,0.2995,0.8561,128.219.133.17,TLSv1.3,onyx-external-vip.ccs.ornl.gov,3,ok,Oak Ridge National Laboratory,United States,Oak Ridge,36.0103581,-84.2696351,2026-07-23T12:32:54.509177+00:00,2026-07-23T14:14:56.931465+00:00
Rubrick1.local,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,macOS 26.5.2,3.9.7,OpenSSL 1.1.1l  24 Aug 2021,ANL-GLOBUS_1GB,failed,https://g-52ba3.fd635.8443.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-52ba3.fd635.8443.data.globus.org,,1110603079,True,2,1,0,111.13,105.6705847079993,10.023,,0.0053,0.2967,0.265,1.0354,140.221.68.106,TLSv1.3,dtn-05.pub.alcf.anl.gov,3,ok,Argonne National Laboratory,United States,Naperville,41.7057317,-88.1945679,2026-07-23T14:14:58.559516+00:00,2026-07-23T14:32:49.222964+00:00
Rubrick1.local,Australia,Perth,Superloop,45.118.64.0,ok (ipwho.is),-31.9558967,115.8605784,macOS 26.5.2,3.9.7,OpenSSL 1.1.1l  24 Aug 2021,NERSC-GLOBUS_1GB,failed,https://g-eba899.6b7bd8.0ec8.data.globus.org/css03_data/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p2f1/Omon/thetao/gn/v20190429/thetao_Omon_CanESM5_historical_r1i1p2f1_gn_185001-186012.nc,g-eba899.6b7bd8.0ec8.data.globus.org,,0,,6,0,0,302.34,0.0,,,,,,,,,dtn-ro-new.nersc.gov,30,ok,ESnet,United States,San Francisco,37.7879363,-122.4075201,2026-07-23T14:33:46.679795+00:00,2026-07-23T14:38:49.020927+00:00
